"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 07 06:39:41 UTC 2025","Sun Dec 07 06:39:41 UTC 2025","1","","Transfer Processing - Error Scenarios","","com.npci.upi.unit.UPITransferServiceTest$TransferErrorTests","testAmountExceedingLimit","❌ Amount exceeding limit should throw PaymentException",""
"passed","Sun Dec 07 06:39:42 UTC 2025","Sun Dec 07 06:39:42 UTC 2025","1","","VPA Validation Tests","","com.npci.upi.unit.UPITransferServiceTest$VPAValidationTests","testInvalidVPAFormats","❌ Invalid VPA formats should fail validation [4] ra@ok",""
"passed","Sun Dec 07 06:39:46 UTC 2025","Sun Dec 07 06:39:46 UTC 2025","175","","Edge Cases & Boundary Conditions","","com.npci.upi.integration.UPITransferIntegrationTest$EdgeCaseTests","testExactMaximumAmount","✅ Transfer with exact maximum amount boundary",""
"passed","Sun Dec 07 06:39:41 UTC 2025","Sun Dec 07 06:39:41 UTC 2025","1","","Transfer Processing - Error Scenarios","","com.npci.upi.unit.UPITransferServiceTest$TransferErrorTests","testInvalidPayerVPA","❌ Invalid payer VPA should throw PaymentException",""
"passed","Sun Dec 07 06:39:41 UTC 2025","Sun Dec 07 06:39:41 UTC 2025","31","","Transaction Charges Calculation","","com.npci.upi.unit.UPITransferServiceTest$ChargesCalculationTests","testP2PZeroCharges","✅ P2P transactions should have zero charges [1] 100, P2P",""
"passed","Sun Dec 07 06:39:48 UTC 2025","Sun Dec 07 06:39:48 UTC 2025","106","","End-to-End Transfer Flow","","com.npci.upi.integration.UPITransferIntegrationTest$E2EFlowTests","testCompleteP2PFlow","✅ Complete P2P transfer flow",""
"passed","Sun Dec 07 06:39:42 UTC 2025","Sun Dec 07 06:39:42 UTC 2025","0","","VPA Validation Tests","","com.npci.upi.unit.UPITransferServiceTest$VPAValidationTests","testNullAndEmptyVPA","❌ Null and empty VPA should fail validation [5] 
",""
"passed","Sun Dec 07 06:39:42 UTC 2025","Sun Dec 07 06:39:42 UTC 2025","3","","Transaction Reference Tests","","com.npci.upi.unit.UPITransferServiceTest$TransactionRefTests","testTransactionRefFormat","✅ Generated reference should follow TXN format",""
"passed","Sun Dec 07 06:39:41 UTC 2025","Sun Dec 07 06:39:41 UTC 2025","1","","Transfer Processing - Error Scenarios","","com.npci.upi.unit.UPITransferServiceTest$TransferErrorTests","testNullRequest","❌ Null request should throw PaymentException",""
"passed","Sun Dec 07 06:39:47 UTC 2025","Sun Dec 07 06:39:47 UTC 2025","102","","Multi-Bank Transfer Scenarios","","com.npci.upi.integration.UPITransferIntegrationTest$MultiBankTests","testCrossBankTransfer","✅ Cross-bank transfer (ICICI to HDFC)",""
"passed","Sun Dec 07 06:39:42 UTC 2025","Sun Dec 07 06:39:42 UTC 2025","1","","Amount Validation Tests","","com.npci.upi.unit.UPITransferServiceTest$AmountValidationTests","testNullAmount","❌ Null amount should fail",""
"passed","Sun Dec 07 06:39:42 UTC 2025","Sun Dec 07 06:39:42 UTC 2025","1","","VPA Validation Tests","","com.npci.upi.unit.UPITransferServiceTest$VPAValidationTests","testInvalidVPAFormats","❌ Invalid VPA formats should fail validation [5] user@123bank",""
"passed","Sun Dec 07 06:39:42 UTC 2025","Sun Dec 07 06:39:42 UTC 2025","2","","VPA Validation Tests","","com.npci.upi.unit.UPITransferServiceTest$VPAValidationTests","testInvalidVPAFormats","❌ Invalid VPA formats should fail validation [7] user@@okicici",""
"passed","Sun Dec 07 06:39:41 UTC 2025","Sun Dec 07 06:39:42 UTC 2025","114","","Transfer Processing - Happy Path","","com.npci.upi.unit.UPITransferServiceTest$TransferHappyPathTests","testMaximumAmountTransfer","✅ Maximum amount transfer should succeed",""
"passed","Sun Dec 07 06:39:42 UTC 2025","Sun Dec 07 06:39:42 UTC 2025","1","","VPA Validation Tests","","com.npci.upi.unit.UPITransferServiceTest$VPAValidationTests","testValidVPAFormats","✅ Valid VPA formats should pass validation",""
"passed","Sun Dec 07 06:39:47 UTC 2025","Sun Dec 07 06:39:48 UTC 2025","509","","Concurrent Transaction Handling","","com.npci.upi.integration.UPITransferIntegrationTest$ConcurrencyTests","testHighVolumeTransactions","✅ High volume transaction processing",""
